Indicator,Next
6457466.34348742,29
-2400943.54627151,67
-20068212.5437748,-60
-4815414.19011946,-186
-9289294.93502779,209
489693.951709732,388
18256676.5694525,-212
7283784.16716088,-223
-8246633.97854615,54
-19266120.5065162,-73
-5929776.91636345,19
1687527.25704686,-81
-3320656.97884335,146
5469876.08992848,215
10388279.6493957,-69
3885374.30168988,-12
-1781277.5268626,119
-4095285.99685072,167
3793755.57440518,-47
-2503361.65184728,361
11056188.1295156,-186
299747.218824607,290
21306993.5467754,-176
-4742028.16701058,63
2860526.22613178,108
-7829978.77536829,-58
-8124508.96699665,-85
-11448347.178143,135
-12702831.2686983,-26
890706.052825725,88
4974198.14553455,-72
5136974.3584588,-17
-2642232.80998569,-26
-3180753.99224936,-29
-8096195.7992966,-106
-1445174.0408307,41
745505.454686916,36
4350917.50143172,-130
-3716373.34704342,-31
-313327.111054612,60
-6089590.35487785,175
10910181.3185014,-152
-4320384.01462122,18
1059187.17122576,61
-2634944.22905783,16
7469966.02285509,29
5140223.36869743,-57
-2329978.59132756,-42
-5323276.3690368,-75
-1711557.34646094,-234
-9630420.24247798,-117
-4630445.62458947,-30
632098.669513103,-45
7720752.90364118,-67
5773894.59312403,173
3350727.65705374,228
7034855.64929765,-6
1092402.09297885,-25
13530.5713650125,182
-439782.386996656,-31
946791.378635729,11
-1733493.25777893,-139
-6588491.64382812,158
-29465.7045670444,66
2868467.50002913,46
4126006.03657368,-53
-1610301.31300137,183
617609.672199198,-52
-3611168.37143026,100
7306934.21771701,-178
-5937358.66156924,-104
-517700.825669788,63
-5502094.12310096,-65
764333.560319347,-60
-1133930.38222743,221
3418344.01381468,2
2421324.20780098,102
5850563.05415375,81
-2229732.49487124,-12
-988292.698711963,-53
-1070565.42698414,76
-807080.480323525,-73
327239.905021422,-120
-4705012.87165002,30
-3544525.07026295,38
4087.69230747842,-37
2673859.08391259,-2
2960890.08170396,1
-609829.577084491,31
1182193.34564495,14
75081.6574088788,8
-173269.213655784,44
631814.709300982,-14
-16820.0484744146,10
-594400.224527205,35
-1924730.81396504,12
2984437.56301164,105
4373297.22345159,135
8278367.3005812,298
13113612.1315061,-241
-4743280.98778302,-214
-12941045.5202851,-30
-14242036.7710724,28
1267084.63712547,170
9003272.34343451,-147
-4153868.81239667,-107
-4328456.02175285,-57
-7909533.73531123,36
1913362.1517114,72
3838979.46270196,-35
4381934.42567918,-13
-925864.383326368,137
2088722.97360452,111
1978240.17676626,-161
-3546067.6380927,135
370705.942011672,39
3746218.50157581,-12
2619599.13383908,-29
-3411813.22613338,31
-5819137.48386336,41
2855099.63863315,-51
863011.814804006,-90
-1353618.50770566,31
-2174712.1299553,-87
-3673767.59956253,57
2370739.91249739,59
5918017.05417905,-58
3529556.84256379,-100
-4188512.77779282,-81
-7481852.35853761,-221
-7297543.40164115,15
2101856.75816545,196
5801999.27392465,23
9269746.98553572,-90
651795.398489616,-61
-4055965.57701878,-16
-1125035.95855795,-165
-2460396.04381311,135
3018433.78000431,80
1489773.51970786,38
4119683.8469863,-51
-1979193.58825089,-69
-3303828.11195391,104
-40826.7086315947,128
2634442.80261986,-63
1695170.79324199,40
-264634.545378585,-10
-405162.346030007,-53
-2313501.84531536,-16
-3447811.90955899,45
-1427175.82190111,-54
1044932.33634259,-66
-2461204.21280296,-190
-11947123.3240839,-870
-32804475.1510098,219
3953556.21952319,51
13858330.9427047,-78
33387513.5671288,19
1494180.04657048,40
-8674572.30395749,208
4387636.86818287,-30
1165546.81950148,202
9855231.22768785,-125
-4437050.57666988,-30
-7438331.28489736,-78
-3768074.684399,116
3238248.60575128,-7
5010201.37406351,-37
286668.669890669,-49
-3268995.13457594,-1
-809087.126587744,-90
-3424896.6687207,-55
-441338.571605976,127
5425886.00556423,-122
-1098189.66595038,210
3066079.4737352,30
-2363672.24271203,-105
3121912.9306543,101
-847211.975993248,47
-325006.081875724,109
7118795.19094222,-163
-5190757.02609927,60
-1875610.78533005,31
-5321580.84941312,81
4540770.54055704,41
-1104872.65520391,107
1244771.98901929,-15
-1400015.52721679,32
2949434.08971348,-12
-2579416.2385817,-46
-992283.510885631,-111
-2333854.55545923,134
1533559.07257854,28
7779841.19820796,-19
894275.771121763,-131
-2000220.2919342,208
-4227309.53632504,-222
-4543086.36303257,-116
-3476683.39531635,113
-1080050.45035054,45
6151737.78922006,45
4659565.88849219,25
-544923.442269888,84
-1184175.66718956,70
1205180.86431422,0
1228406.97123169,-121
-1174684.51112256,89
-492942.024087321,-32
-1691865.56453991,113
3322118.00458799,-13
-967549.044988994,334
10309249.2803869,-140
-4059968.02618149,-92
-2422997.79777608,38
-11408659.569233,77
3838445.08791899,-79
-553594.415518652,52
1280263.13126164,49
-1988417.30391124,-78
2813256.57736727,67
2672337.5174348,145
4810829.88671278,-126
-1029693.59868913,-8
-4382463.44809952,71
-3016883.33877875,43
3032936.10524465,-84
1200023.36560512,-133
-6601770.99798535,-154
-9685034.40420515,41
2963648.35117609,51
5790380.03596872,19
9008576.24307505,144
-117677.665173714,-53
-1246816.43969222,14
-710295.439982541,-109
-3975056.18475162,53
608127.138025502,-99
-3952550.87650426,62
2953664.85391176,74
3516913.59628266,-22
1814542.58239997,-77
-3905052.0378329,-61
-4079795.67488995,-77
-901571.7605137,10
